pl_BM_3,pl_BM_6,pl_CRW_6
2.9999999999999996,6.0,6.0
5.999999999999999,12.0,12.0
9.0,18.0,18.0
12.0,24.0,24.0
15.0,30.0,30.0
18.0,36.0,36.0
21.0,42.0,42.0
24.0,48.0,48.0
27.0,54.0,54.0
30.0,60.0,59.99999999999999
33.0,66.0,65.99999999999999
36.0,72.0,71.99999999999999
39.0,78.0,77.99999999999999
42.0,84.0,83.99999999999999
45.0,90.0,89.99999999999999
48.0,96.0,95.99999999999999
51.0,102.0,101.99999999999999
54.0,108.0,107.99999999999999
57.0,114.0,113.99999999999999
60.0,120.0,119.99999999999999
63.0,126.0,125.99999999999999
66.0,132.0,132.0
69.0,138.0,138.0
72.0,144.0,144.0
75.0,150.0,150.0
78.0,156.0,155.99999999999997
81.0,162.0,161.99999999999997
84.0,168.0,167.99999999999997
87.0,174.0,173.99999999999997
90.0,180.0,179.99999999999997
93.0,186.0,185.99999999999997
96.0,192.0,192.0
99.0,198.0,198.0
102.0,204.0,204.0
105.0,210.0,210.0
108.0,216.0,216.0
111.0,222.0,222.0
114.0,228.0,228.0
117.0,234.0,234.0
120.0,240.0,240.0
123.0,246.0,246.0
126.0,252.0,252.0
129.0,258.0,258.0
132.0,264.0,264.0
135.0,270.0,270.0
138.0,276.0,276.0
141.0,282.0,282.0
144.0,288.0,288.0
147.0,294.0,294.0
150.0,300.0,300.0
153.0,306.0,306.0
156.0,312.0,312.0
159.0,318.0,318.0
162.0,324.0,324.00000000000006
165.0,330.0,330.00000000000006
168.0,336.0,336.00000000000006
171.0,342.0,342.00000000000006
174.0,348.0,348.00000000000006
177.0,354.0,354.00000000000006
180.0,360.0,360.00000000000006
183.0,366.0,366.00000000000006
186.0,372.0,372.00000000000006
189.0,378.0,378.00000000000006
192.0,384.0,384.00000000000006
195.0,390.0,390.00000000000006
198.0,396.0,396.00000000000006
201.0,402.0,402.00000000000006
204.0,408.0,408.00000000000006
207.0,414.0,414.00000000000006
210.0,420.0,420.00000000000006
213.0,426.0,426.00000000000006
216.0,432.0,432.00000000000006
219.0,438.0,438.00000000000006
222.0,444.0,444.00000000000006
225.0,450.0,450.00000000000006
228.0,456.0,456.00000000000006
231.0,462.0,462.00000000000006
234.0,468.0,468.00000000000006
237.0,474.0,474.00000000000006
240.0,480.0,480.00000000000006
243.0,486.0,486.00000000000006
